years,Austria_trend_Climate-related_economic_losses_EUR_per_capita,EU_trend_Climate-related_economic_losses_EUR_per_capita,Belgium_trend_Climate-related_economic_losses_EUR_per_capita,Bulgaria_trend_Climate-related_economic_losses_EUR_per_capita,Cyprus_trend_Climate-related_economic_losses_EUR_per_capita,Czechia_trend_Climate-related_economic_losses_EUR_per_capita,Germany_trend_Climate-related_economic_losses_EUR_per_capita,Denmark_trend_Climate-related_economic_losses_EUR_per_capita,Estonia_trend_Climate-related_economic_losses_EUR_per_capita,Greece_trend_Climate-related_economic_losses_EUR_per_capita,Spain_trend_Climate-related_economic_losses_EUR_per_capita,Finland_trend_Climate-related_economic_losses_EUR_per_capita,France_trend_Climate-related_economic_losses_EUR_per_capita,Croatia_trend_Climate-related_economic_losses_EUR_per_capita,Hungary_trend_Climate-related_economic_losses_EUR_per_capita,Ireland_trend_Climate-related_economic_losses_EUR_per_capita,Iceland_trend_Climate-related_economic_losses_EUR_per_capita,Italy_trend_Climate-related_economic_losses_EUR_per_capita,Liechtenstein_trend_Climate-related_economic_losses_EUR_per_capita,Lithuania_trend_Climate-related_economic_losses_EUR_per_capita,Luxembourg_trend_Climate-related_economic_losses_EUR_per_capita,Latvia_trend_Climate-related_economic_losses_EUR_per_capita,Malta_trend_Climate-related_economic_losses_EUR_per_capita,Netherlands_trend_Climate-related_economic_losses_EUR_per_capita,Norway_trend_Climate-related_economic_losses_EUR_per_capita,Poland_trend_Climate-related_economic_losses_EUR_per_capita,Portugal_trend_Climate-related_economic_losses_EUR_per_capita,Romania_trend_Climate-related_economic_losses_EUR_per_capita,Sweden_trend_Climate-related_economic_losses_EUR_per_capita,Slovenia_trend_Climate-related_economic_losses_EUR_per_capita,Slovakia_trend_Climate-related_economic_losses_EUR_per_capita,Turkiye_trend_Climate-related_economic_losses_EUR_per_capita
2000,12.8314489327,30.3653969825,2.204609194,0.7343786642,0.0,65.8699025057,13.4762155196,98.0969418026,1.0737409493,15.9728916153,30.1248298407,0.0,67.780661352,12.1075075051,29.5858248936,19.7888453984,6.7566366174,48.3719359318,61.2651248277,22.5744212947,8.2512033005,0.0422377563,0.0,18.1155859783,33.5785143823,17.6300096901,1.720133669,25.0234249289,2.490952264,82.0543761077,13.9365192476,4.2258360321
2001,10.3701767643,30.8529850559,2.2067608542,0.7491439158,0.0,66.6561935203,14.548889996,97.746074062,1.0806021115,16.617363884,30.4770487994,0.4240548588,66.1942656603,12.580078829,29.7617411639,19.3210825083,6.6674152887,48.2341976442,60.2518527445,22.7612049955,8.1535586886,0.0427867892,0.0,17.9793570806,34.0071926874,21.1827648533,1.7080454344,27.3450578507,2.4842737602,85.8407879281,14.4826038643,4.2675411632
2002,59.1317177263,39.4892249583,2.2743142338,0.8038625211,0.0,120.11474842,47.1556669812,77.4191484228,1.0874687353,16.9051209033,29.8950862529,0.4230282748,67.0234871933,12.5655014506,14.2736091401,21.5414907678,6.6081669988,54.596113108,59.3577491542,1.4521936401,8.0685829551,0.0432868015,0.0,20.4905229319,17.6943998657,21.1925787576,1.698716586,27.8548635061,2.4874066634,64.7270284227,14.6180558655,4.0149990669
2003,63.8681176932,44.4404203536,2.2744504142,0.8102553114,1.8098111253,120.1491308905,48.1921573919,77.2088464049,2.5534025913,30.1608609755,31.8410757462,0.422020735,72.7759913651,32.2838751334,21.8667123679,19.4919531262,6.5625636828,65.5137002202,58.6871680507,0.2342460046,3.7641432146,0.0437071533,5.2686774616,19.0011871582,15.9698391296,22.7093250886,47.1276829386,33.6464740544,2.4781683969,55.468341707,19.8943903774,3.9673894956
2004,63.4486242356,40.5572873691,2.2742240122,0.8293528715,1.7857633451,120.1125692488,47.4052023201,77.028074448,2.5687130747,27.9320914263,30.3830946886,0.459051462,52.8284818551,32.2865691818,21.9151875317,13.3652329997,6.5052007368,56.3020124684,58.0602084361,0.2368913927,3.7110206398,0.0441867473,5.23341009,19.291503711,14.9175397601,23.5240369196,62.2766745954,34.230310742,2.624108373,54.7317692633,30.3595493906,3.9216709614
2005,73.7375558,43.6062772318,1.7559569168,34.9263582632,1.7602296423,119.9465372195,48.8678094531,76.8161681888,20.0771345795,27.8503008106,30.9759970385,3.3929992894,55.3290582967,32.2612516623,23.1881126968,13.0771934227,6.4030411075,55.075529049,57.5489885765,1.9262441129,0.0,24.1200750938,5.2001564999,9.8652758711,7.2026614808,23.523897075,80.4506761189,50.1977397884,32.2385158455,54.4370984077,30.3565715277,3.7290652876
2006,82.0932968308,43.538483362,1.7444134685,35.2057920632,1.731105977,125.1696348389,49.8892577929,76.5641299534,20.1958702415,28.2477109191,27.8642951391,3.398991468,53.9524428432,32.2744515488,23.8398549552,12.680922488,0.9875502828,53.8353248924,57.0825127722,12.6609027958,0.0,24.3423398488,5.1812448804,9.8494436074,7.0590603039,23.5414308602,79.1652918073,51.1518484686,32.0687010249,57.9509962788,31.8254757909,4.1878770541
2007,83.3344684887,42.3216141293,6.2866446446,35.5186209021,1.6946390745,73.9113227253,56.8008517502,78.0746755708,20.2882119521,39.8788140225,28.3261233389,3.9518068644,53.5548693545,32.2763972585,23.6480909487,11.6618950648,0.9628778493,51.5808893173,56.7182803017,12.8122046462,0.0,24.541829048,5.1632064988,13.7592591146,7.4535696759,6.2748291211,78.4693943752,49.7294878672,31.7771181138,71.1057111513,28.9694791559,4.1363712866
2008,90.5125712973,42.4118494873,6.0971208798,35.7688112249,25.0434764922,72.4823086641,59.4190017824,77.6172946769,20.3426844865,31.5043337416,27.5514009564,3.9334520144,52.7573707854,31.8960249898,23.1416267557,11.4265502243,0.9451378956,52.3418511901,56.3809094241,12.9446559676,0.0,24.8011088851,5.1297208699,8.2271280823,7.5290276523,6.5336404188,78.3563298854,51.1834841725,31.5305255511,62.3850996084,26.8625657227,0.6826017536
2009,96.3405108492,35.808935308,5.2887544131,36.0000069851,24.7514030952,73.7652930849,56.4379706667,3.5487349032,20.3819365088,32.2228731621,18.6183164461,3.9146853333,28.6941038771,31.9297999546,11.4839887654,14.1112917895,0.941918185,50.9092379749,0.0,13.0575709251,0.0,25.1672877555,5.0911929635,8.1849258469,7.4346732451,6.7624943571,78.6790846202,46.7853496114,29.0584034117,60.5490400648,17.8226446354,2.2640449424
2010,92.4503946001,35.8113736095,10.5914450127,35.4264745831,24.1124798962,72.0040555984,63.3100313255,3.8935173477,23.507763946,32.1364123265,18.689523263,6.7122202682,35.6393575943,33.1909489725,16.6399617281,10.0873764159,0.9432746092,26.7234991025,0.0,13.3342717906,6.5094791825,25.6965848333,5.0662472136,8.1430509562,5.7882064578,16.2133201888,93.3784793485,38.5541054714,28.6944321286,66.2897231892,18.6777974221,2.1752163424
